smiles,He_Permeability_Barrer
*C(=O)c1ccc(-c2ccc(C(=O)c3ccc(Oc4ccc(S(=O)(=O)c5ccc(Oc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,7.699999997
*C(=O)c1ccc(C(c2ccc(C(=O)c3ccc(Oc4ccc(C(c5ccc(Oc6ccc(*)cc6)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,41.99999996
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)c1)C2=O,16.99999999
*C(C)=C(*)C(C)C,2640.000001
*C(C)=C(*)SCCCC,58.00000006
*C(C)=C(*)SCCCCCC,43.00000004
*C(C)=C(*)SCCCCCCCC,57.00000004
*C(C)=C(*)SCCCCCCCCCC,41.99999996
*C(C)=C(*)[Si](C)(C)C,5769.999998
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,1100.0
*C(Cl)=C(*)c1ccccc1,34.8
*C(F)(F)C(F)(F)C1(F)C(F)(F)C(*)(F)OC(F)(F)C1(F)F,169.9999999
*C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1(*)OC(F)(F)F,430.0000004
*C1C(*)C2CC1C1C2C([Si](C)(C)C)C1[Si](C)(C)C,1889.999999
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,930.000001
*C=C(*)C(C)(C)C,810.0000002
*C=CC1CC(*)c2c1c(O)n(C1CCCC1)c2O,15.40000001
*C=CC1CC(*)c2c1c(O)n(C1CCCCC1)c2O,25.09999997
*C=CC1CC(*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,419.9999996
*CC(*)(C)C(=O)OC(C)(C)C,74.59999992
*CC(*)(C)c1ccccc1,14.49999999
*CC(*)C(=O)OC,11.49999999
*CC(*)C(=O)OCCCCCCCCCC,57.00000004
*CC(*)OC(=O)c1ccc(C)cc1,14.60000001
*CC(*)OC(=O)c1cccc(C)c1,8.229999996
*CC(*)OC(=O)c1ccccc1C,7.059999999
*CC(*)[Si](C)(C)C,180.0
*CC(*)c1ccc(Br)cc1,16.4
*CC(*)c1ccc(C(C)(C)C)cc1,103.9999999
*CC(*)c1ccc(C[Si](C)(C)C)cc1,46.00000003
*CC(*)c1ccc(Cl)cc1,16.4
*CC(*)c1ccc(OC(C)=O)cc1,18.59999999
*CC(*)c1ccc(OC)cc1,15.0
*CC(*)c1ccc([Si](C)(C)C)cc1,117.0000001
*CC(*)c1ccc([Si](C)(C)CCC(F)(F)F)cc1,94.99999994
*CCC1CC(*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,300.0000002
*CCCCCCCC[Si](C)(C)O[Si](*)(C)C,173.9999999
*CCCCCC[Si](C)(C)O[Si](*)(C)C,194.0
*CCCCCOC(*)=O,5.479999994
*CC[Si](C)(C)O[Si](*)(C)C,272.0
*CC[Si](C)(C)c1ccc([Si](C)(C)CC[Si](*)(C)C)cc1,10.59999999
